title,summary,genre,attendance,year
"Yes Men, The","Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",Documentary,51666,1996-09-24
Songs From the Second Floor (Sånger från andra våningen),"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio.",Drama,33256,2006-05-29
San Pietro,Donec dapibus. Duis at velit eu est congue elementum.,Documentary|War,85474,2020-12-28
Can-Can,"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",Comedy|Musical|Romance,65839,2006-04-03
Grand Prix,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",Drama,73744,2016-10-30
Booker's Place: A Mississippi Story,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,Documentary|Mystery,42159,1997-02-18
My Winnipeg,Aenean lectus. Pellentesque eget nunc.,Documentary|Fantasy,5118,2009-02-19
Taistelu Näsilinnasta 1918,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,War,93606,2017-07-13
Shanghai Calling,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",Comedy|Drama|Romance,18962,2011-02-18
Authors Anonymous,Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis.,Comedy|Drama|Romance,44293,2009-01-26
Any Wednesday (Bachelor Girl Apartment),Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis.,Comedy,68950,1998-10-14
On the Beach,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum.",Drama|Sci-Fi,47830,2018-02-20
Shadowlands,Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,Drama|Romance,99723,2016-07-26
Svengali,Morbi a ipsum. Integer a nibh. In quis justo.,Drama|Horror,97379,2007-11-13
AmericanEast,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,Drama,55172,2019-01-19
Saint (Sint),"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",Horror,77951,1991-03-11
Grand Hotel,In eleifend quam a odio. In hac habitasse platea dictumst.,Drama|Romance,65637,2009-06-01
"Page Turner, The (Tourneuse de pages, La)","Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",Drama|Musical|Thriller,35146,2008-05-13
Amores Perros (Love's a Bitch),Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,Drama|Thriller,33326,2015-02-22
Chillerama,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl.",Comedy|Horror,67371,2017-12-12
Beginning of the Great Revival (a.k.a. The Founding of a Party),Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna.,Drama|IMAX,78997,2021-01-03
Record of a Tenement Gentleman (Nagaya shinshiroku),Proin at turpis a pede posuere nonummy. Integer non velit.,Drama,78898,1994-03-02
I Spit on Your Grave,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",Crime|Horror|Thriller,55002,1994-02-17
"Kings of Mykonos, The","Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",Comedy,99616,2017-06-29
Raggedy Man,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",Drama,85773,2009-06-20
Socialism (Film socialisme),Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,Drama,57296,2013-07-29
"County Teacher, The (Venkovský ucitel)","In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",Drama,75033,1993-02-08
Starship Troopers 3: Marauder,Suspendisse potenti. Nullam porttitor lacus at turpis.,Action|Sci-Fi|War,35600,2016-10-11
Night Shift,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.",Comedy,37580,2016-08-16
First Shot,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",Action,81372,2010-09-07
"Other F Word, The","Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",Comedy|Documentary|Drama,51154,2011-10-19
Company of Heroes,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,Action|War,23333,1995-09-16
"Godfather, The",Nunc purus. Phasellus in felis. Donec semper sapien a libero.,Crime|Drama,27316,2000-02-23
Holy Smoke,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Comedy|Drama,91195,2020-02-08
Red Corner,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",Crime|Thriller,72604,2001-02-15
Love Affair,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",Drama|Romance,93247,2012-05-22
Redline,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,Action|Animation|Sci-Fi,25211,2008-01-13
Solomon Northup's Odyssey,Sed ante. Vivamus tortor. Duis mattis egestas metus.,(no genres listed),48107,2010-12-25
Gravity,Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,Action|Sci-Fi|IMAX,29451,2013-05-03
Stockholm East (Stockholm Östra),"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",Drama,30345,1997-05-23
[REC]²,Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla.,Horror|Thriller,53868,1995-04-19
Jack and Jill,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,Comedy,59688,2014-01-01
Karlsson on the Roof,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",Children,52548,2006-04-11
Johnny Stecchino,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",Comedy,80870,2005-12-27
Hell's Angels,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",Drama|War,39408,1997-08-06
"Desert Rats, The",Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,Drama|War,95484,2017-09-29
The Violent Enemy,Nulla ut erat id mauris vulputate elementum. Nullam varius.,Crime|Drama,14469,2005-06-28
New York Lightboard Record,"Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",Animation|Documentary,47650,2008-01-27
Ricky,Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,Comedy|Drama|Fantasy,77446,2016-08-19
"Black Scorpion, The","Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",Sci-Fi,9398,2017-02-17
The Humanoid,In hac habitasse platea dictumst. Etiam faucibus cursus urna.,Fantasy|Sci-Fi,13914,2014-01-12
Forks Over Knives,In hac habitasse platea dictumst. Etiam faucibus cursus urna.,Documentary,7030,2020-12-05
"Long Way Down, A",In congue. Etiam justo.,Comedy|Drama,71890,2013-03-01
Major Payne,In hac habitasse platea dictumst. Etiam faucibus cursus urna.,Comedy,72651,2011-04-07
Georgia,Aenean fermentum. Donec ut mauris eget massa tempor convallis.,Drama,73501,1999-01-10
Nowhere to Hide (Injeong sajeong bol geot eobtda),"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",Action|Comedy|Crime|Thriller,43589,2011-04-26
Mujhse Dosti Karoge!,Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,Drama|Romance,23117,1992-10-05
"Clean, Shaven",Duis bibendum. Morbi non quam nec dui luctus rutrum.,Crime|Drama,58540,1992-02-12
Garfield's Halloween Adventure,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis.",Animation|Children,60958,2005-04-05
Shoot the Piano Player (Tirez sur le pianiste),Nunc purus. Phasellus in felis.,Crime|Drama|Romance|Thriller,36328,1992-02-09
"Curse, The (a.k.a. The Farm)","Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",Horror|Sci-Fi,85990,2012-08-29
Kal Ho Naa Ho,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,Comedy|Drama|Romance,80349,1993-03-01
They Bite,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",Comedy|Horror|Sci-Fi,99754,1991-06-27
Mondo Cane,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",Documentary,95555,1993-12-15
Shamus,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",Crime|Mystery,46120,1999-10-22
The Hobbit: The Battle of the Five Armies,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",Adventure|Fantasy,43622,1995-07-17
"Human Behavior Experiments, The",Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus.,Documentary,83921,2018-10-19
Patton,Fusce consequat. Nulla nisl.,Drama|War,54273,1999-12-03
"Prairie Home Companion, A",Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,Comedy|Drama|Musical,40995,2016-06-01
"Taste of Tea, The (Cha no aji)",Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,Comedy|Drama,67350,1998-10-30
"Crow, The: Wicked Prayer","Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.",Action|Adventure|Fantasy|Thriller,85054,2009-09-10
"Slipper and the Rose, The",Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.,Adventure|Musical|Romance,78066,2008-12-06
Blue Is the Warmest Color (La vie d'Adèle),In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,Drama|Romance,40243,2012-05-28
American Zombie,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",Comedy|Horror,66111,2014-02-05
The Little Kidnappers,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,Drama|Romance|War,3988,1994-10-21
"Pumpkin Eater, The","Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",Drama,93171,2006-04-25
Killing Zoe,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",Crime|Drama|Thriller,65181,2021-01-17
New York,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,Crime|Drama|Thriller,77742,2012-12-03
Sound of Noise,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",Comedy|Crime|Musical,65019,2015-08-21
Squeeze,Vivamus tortor. Duis mattis egestas metus. Aenean fermentum.,Drama,62682,2019-06-07
Bizarre,"Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",(no genres listed),81036,2012-09-08
Emerald Cowboy,"Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",Documentary|Drama,92591,2000-05-04
Texas Carnival,Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,Comedy|Musical,32869,2016-09-02
"Mark of Cain, The","Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",Drama,11580,2010-08-09
Doc Hollywood,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,Comedy|Romance,49956,2017-03-26
"Backyard, The","Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Documentary,30844,2021-08-19
"Lizzie McGuire Movie, The","Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",Children|Comedy|Romance,81303,2015-03-22
Snow Angels,Sed ante. Vivamus tortor.,Drama,62797,2016-11-17
"Beastmaster, The",Praesent blandit. Nam nulla.,Action|Adventure|Fantasy,80477,2001-08-12
"History of Violence, A","Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",Action|Crime|Drama|Thriller,71019,2021-09-15
Dark House,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.",Horror|Thriller,66799,1999-09-27
By the Sword,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.,Drama,39873,2009-05-05
Attenberg,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",Drama,8329,2011-03-30
"Ballad of Nessie, The",Suspendisse potenti. Nullam porttitor lacus at turpis.,Animation|Children,27910,2017-04-17
Being Human,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,Drama,56456,2005-02-21
Scrooged,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",Comedy|Fantasy|Romance,71356,2018-03-24
Modesty Blaise,Suspendisse potenti. Cras in purus eu magna vulputate luctus.,Comedy,70003,2005-01-29
DuckTales: The Movie - Treasure of the Lost Lamp,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",Adventure|Animation|Children|Comedy|Fantasy,72088,2019-02-03
Skhizein,"Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",Animation|Drama,68197,1990-10-07
Room at the Top,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",Drama,51173,2009-03-06
Oliver!,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante.,Drama|Musical,55713,2000-07-11
Girl with a Pearl Earring,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,Drama|Romance,37601,1993-08-03
Beyond Justice,In congue. Etiam justo. Etiam pretium iaculis justo.,Action|Adventure|Drama,76842,2012-08-02
18 Years Old and Rising (J'aime regarder les filles),Nulla nisl. Nunc nisl.,Comedy,25904,2014-05-21
No Mercy,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,Action|Crime|Thriller,33134,2005-11-04
Devil,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",Horror|Mystery|Thriller,82109,2012-10-30
TINY: A Story About Living Small,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",Documentary,27378,1997-07-11
Pina,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",Documentary|Musical,17872,1995-12-22
Pretty Cool,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",Action|Comedy|Thriller,86253,2004-09-13
Salinger,Aliquam non mauris. Morbi non lectus.,Documentary,59890,2011-11-28
"Beach Girls and the Monster, The",Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,Horror,79456,2021-08-22
Wonder Man,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,Comedy|Fantasy|Musical,13384,2015-07-29
Killer: A Journal of Murder,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",Crime|Drama,50570,2005-06-12
Shiloh,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",Children|Drama,37569,2004-04-30
New Orleans Uncensored,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,Crime|Drama|Film-Noir|Thriller,15592,2009-09-21
UHF,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",Comedy,83988,1994-12-12
Spirit: Stallion of the Cimarron,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",Adventure|Animation|Children|Western,11128,2004-04-24
Standing Up,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",Adventure|Children,32322,1998-06-01
Kalifornia,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",Drama|Thriller,53566,1999-10-18
House of 1000 Corpses,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,Horror,22008,2013-04-13
Man on a Mission: Richard Garriott's Road to the Stars,Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,Documentary,67891,1990-11-25
I Wake Up Screaming,Donec dapibus. Duis at velit eu est congue elementum.,Crime|Film-Noir|Mystery|Romance|Thriller,81815,2000-12-17
It's All Gone Pete Tong,Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla.,Comedy|Drama|Musical,4319,2009-08-14
"Destinées, Les (Destinées sentimentales, Les)","Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",Drama|Romance,24398,1999-12-26
Persuasion,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,Drama|Romance,70177,1996-10-19
Happy New Year,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",Comedy|Crime|Romance,83020,2005-09-17
Mickey's The Prince and the Pauper,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,Animation|Children,24084,2012-11-19
Kung Fu Panda,Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,Action|Animation|Children|Comedy|IMAX,12432,2016-01-02
Dead in the Water,Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus.,Crime|Thriller,22915,2013-07-08
Caught Up,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus.",Crime,90684,1999-02-10
AKA,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,Drama,40387,2008-08-23
"Fistful of Fingers, A",Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.,Comedy|Western,68301,2009-02-20
"Unfinished Life, An","Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",Drama,41065,2000-01-04
This Is My Father,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",Drama|Romance,34109,2015-01-18
White Lightnin',Ut tellus. Nulla ut erat id mauris vulputate elementum.,Drama,49420,1998-09-04
Tape,Phasellus in felis. Donec semper sapien a libero. Nam dui.,Drama,17203,1997-03-13
Sparrows Dance,Vivamus tortor. Duis mattis egestas metus. Aenean fermentum.,Drama|Romance,85207,1992-12-29
Mondovino,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante.,Documentary,34160,2006-06-02
George Carlin: It's Bad for Ya!,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",Comedy,72759,2019-07-01
Enemies: A Love Story,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.,Drama,52889,2001-12-11
Hector and the Search for Happiness,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",Adventure|Comedy|Drama,28978,1993-04-26
L'enfance nue (Naked Childhood),"Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",Drama,13252,2011-10-30
King Kong,In sagittis dui vel nisl. Duis ac nibh.,Action|Adventure|Fantasy|Horror,66039,2001-05-10
Gone to Earth,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Drama|Romance,1992,1997-10-04
"Bells, The","Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",Crime|Drama,16887,2022-01-18
"Last Unicorn, The","Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",Animation|Children|Fantasy,79392,2001-01-26
"Crimson Wing: Mystery of the Flamingos, The","Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",Documentary,43689,2020-06-29
Tie Xi Qu: West of the Tracks (Tiexi qu),Integer ac neque. Duis bibendum.,Documentary,95815,2012-03-11
"North and South, Book II",Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,Drama|Romance|War,20685,2015-03-06
Final Destination 2,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",Horror|Thriller,85235,2002-04-24
"Piano, The",Maecenas pulvinar lobortis est. Phasellus sit amet erat.,Drama|Romance,71019,1991-08-15
"Glass Menagerie, The",Proin at turpis a pede posuere nonummy. Integer non velit.,Drama,72865,1992-01-06
W.E.,Ut at dolor quis odio consequat varius. Integer ac leo.,Drama|Romance,33988,1991-07-23
Retroactive,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",Sci-Fi|Thriller,50972,2020-08-08
"In-Laws, The","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",Comedy,25729,2001-07-22
Each Dawn I Die,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,Crime|Drama|Thriller,34859,1998-05-12
Adventures of Kitty O'Day (Kitty O'Day Comes Through),Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,Comedy|Crime|Mystery|Romance,87511,2011-09-30
Just Wright,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",Comedy|Romance,52910,2011-08-19
"Price of Forgiveness, The (Ndeysaan)","Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",Drama,88744,1998-09-27
"Mother Dao, the Turtlelike (Moeder Dao, de schildpadgelijkende)","Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",Documentary,2752,2005-07-10
European Vacation (aka National Lampoon's European Vacation),Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,Adventure|Comedy|Romance,48350,1996-07-19
"Adventures of Milo and Otis, The (Koneko monogatari)",Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,Adventure|Children|Comedy|Drama,75879,2006-07-22
Bernard and Doris,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,Comedy|Drama,41814,1990-12-19
At the River I Stand,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",Documentary,90281,1992-03-28
Snow Day,Sed ante. Vivamus tortor. Duis mattis egestas metus.,Comedy,45747,1991-03-25
Men in the City (Männerherzen),Ut at dolor quis odio consequat varius. Integer ac leo.,Comedy,63803,2018-06-11
Tucker: The Man and His Dream,Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis.,Drama,80869,2003-03-12
Open Windows,"Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",Crime|Thriller,37567,2005-07-23
Virtual Sexuality,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",Comedy|Drama,78980,2003-01-11
"Jeff, Who Lives at Home","Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",Comedy|Drama,61941,1996-06-17
Plan 9 from Outer Space,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",Horror|Sci-Fi,2851,2001-01-19
American Dreamz,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio.",Comedy|Drama,38679,2016-12-06
Cloudland,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",Animation,37823,2020-02-14
Into the Woods,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,Adventure|Comedy|Fantasy|Musical,55163,1995-03-24
Accepted,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",Comedy,88783,2013-11-20
Chain Reaction,In sagittis dui vel nisl. Duis ac nibh.,Horror,82598,2017-04-08
Extraordinary Measures,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,Drama,55776,1994-10-21
God Save My Shoes,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",Documentary,36791,1994-12-10
